#vcrlog boot_count=47 version=1 entries=1024 next_seq=89 created=01dd4da9bd2da2b0
1	10	1	2	100	4	00000000	00000030	00000001	00001268	vcrmp 0.1 build 1: VideoPortInitialize 0
2	2173	1	2	101	4	00000001	00000002	00000000	00000000	PHASE find adapter
3	2173	1	2	200	4	0000121a	00000005	003a121a	00000001	PCI 121a:0005 subsys 003a121a rev 1 at bus 1 slot 0
4	2173	1	2	201	4	00000000	e0000000	02000000	00000000	range 0: e0000000 + 2000000 mem
5	2173	1	2	201	4	00000001	de000000	02000000	00000000	range 1: de000000 + 2000000 mem
6	2173	1	2	201	4	00000002	0000d800	00000100	00000001	range 2: 0000d800 + 100 io
7	2173	1	2	202	4	00000000	e0000000	00400000	f7dad000	registers mapped
8	2173	1	2	202	4	00000002	0000d800	00000100	0000d800	I/O BAR mapped
9	2173	1	2	102	4	00000001	00000001	00000000	00000000	PHASE discover
10	2173	1	2	204	4	0c1fa9e9	4056c601	01000000	02000000	fb 16 MB (8 parts x 2 MB), BAR1 32 MB
11	2173	1	3	203	4	00000000	0000005f	00000000	00000000	boot chip0 status
12	2173	1	3	203	4	00000004	0584fb04	00000000	00000000	boot chip0 pciInit0
13	2173	1	3	203	4	0000000c	00001fff	00000000	00000000	boot chip0 lfbMemCfg
14	2173	1	3	203	4	00000010	00000000	00000000	00000000	boot chip0 miscInit0
15	2173	1	3	203	4	00000014	00008001	00000000	00000000	boot chip0 miscInit1
16	2173	1	3	203	4	00000018	0c1fa9e9	00000000	00000000	boot chip0 dramInit0
17	2173	1	3	203	4	0000001c	4056c601	00000000	00000000	boot chip0 dramInit1
18	2173	1	3	203	4	00000020	0000049e	00000000	00000000	boot chip0 agpInit
19	2173	1	3	203	4	00000024	ffffffff	00000000	00000000	boot chip0 tmuGbeInit
20	2173	1	3	203	4	00000028	00000140	00000000	00000000	boot chip0 vgaInit0
21	2173	1	3	203	4	0000002c	00000000	00000000	00000000	boot chip0 vgaInit1
22	2173	1	3	203	4	00000038	00000040	00000000	00000000	boot chip0 strapInfo
23	2173	1	3	203	4	00000040	00000000	00000000	00000000	boot chip0 pllCtrl0
24	2173	1	3	203	4	00000044	0000720d	00000000	00000000	boot chip0 pllCtrl1
25	2173	1	3	203	4	00000048	00000000	00000000	00000000	boot chip0 pllCtrl2
26	2173	1	3	203	4	0000004c	00000000	00000000	00000000	boot chip0 dacMode
27	2173	1	3	203	4	0000005c	00000000	00000000	00000000	boot chip0 vidProcCfg
28	2173	1	3	203	4	00000098	001e0280	00000000	00000000	boot chip0 vidScreenSize
29	2173	1	3	203	4	000000e4	00000000	00000000	00000000	boot chip0 deskStart
30	2173	1	3	203	4	000000e8	00000050	00000000	00000000	boot chip0 deskStride
31	2173	1	3	203	4	00000088	ffffffff	00000000	00000000	boot chip0 pixBufThold
32	2173	1	3	203	4	0000001a	00000000	00000000	000003d4	boot CR1A
33	2173	1	3	203	4	0000001b	00000000	00000000	000003d4	boot CR1B
34	2183	1	2	209	4	00000001	8f980000	8ffc0000	00000080	EDID read over DDC
35	2183	1	2	210	4	000009f8	0073001e	007d002d	000493e0	monitor 86Box Monitor BOX0000: H 30-115 kHz, V 45-125 Hz, 300 MHz
36	2193	1	2	207	4	000000d2	00000046	000493e0	00027100	210 modes
37	2193	1	2	102	4	00000000	00000001	00000001	01000000	adapter ready: 1 chip(s), 16 MB each
38	2193	1	2	102	4	00000000	00000001	00000000	00000000	PHASE find done
39	4977	1	2	103	468	00000001	00000000	00000000	00000000	PHASE initialize
40	11927	1	2	104	468	00000001	00000000	00000000	00000000	initialized; stable-boot timer on
41	11977	1	2	109	4	00000001	000004de	00000080	00000100	monitor child, 128 EDID bytes
42	11977	1	3	109	4	00000002	000004e0	00000000	00000000	child enumeration: no child 2
43	12347	2	3	506	468	000000d2	0000b478	00000000	00000000	DrvGetModes
44	12387	2	2	500	468	00000320	00000258	00000010	0000003c	DrvEnablePDEV mode 80
45	12387	2	3	501	468	00000000	00000000	00000000	00000000	DrvCompletePDEV
46	12387	1	2	300	468	03200258	0010003c	00000000	00000000	PHASE mode set
47	12608	1	2	300	468	00000320	00000258	00000010	0000003c	mode 80: 800x600x16@60
48	12608	1	2	301	468	00009c40	00009c59	0000f427	00000000	pll 40000 kHz -> 40025 kHz, refresh 60353 mHz
49	12608	1	3	305	468	00000000	00000200	00000000	00000000	identity CLUT (both banks), 0 retries
50	12608	1	3	302	468	0000005c	00040081	00040081	00000000	vidProcCfg ok
51	12608	1	3	302	468	00000040	0000f427	0000f427	00000000	pllCtrl0 ok
52	12608	1	3	302	468	0000004c	00000000	00000000	00000000	dacMode ok
53	12608	1	3	302	468	00000098	00258320	00258320	00000000	vidScreenSize ok
54	12608	1	3	302	468	000000e8	00000640	00000640	00000000	deskStride ok
55	12608	1	3	302	468	00000300	0000007f	0000007f	00000000	CR00 ok
56	12608	1	3	302	468	00000306	00000072	00000072	00000000	CR06 ok
57	12608	1	3	302	468	0000031a	000000a0	000000a0	00000000	CR1a ok
58	12608	1	3	302	468	0000031b	00000000	00000000	00000000	CR1b ok
59	12608	1	2	303	468	00040081	00258320	00000640	00035f48	mode set done
60	12608	1	2	303	468	00000050	00000000	00000000	00000000	PHASE mode set done
61	12758	1	2	202	468	00000001	de000000	01000000	f6b0e000	LFB mapped for the display driver
62	12778	1	2	202	468	00000002	e0000000	00400000	f7dad000	registers mapped for the display driver
63	12778	2	2	512	468	00000001	0000001f	f7dad000	00000001	2D engine on (registers at f7dad000, FIFO free when empty 31)
64	12778	2	2	502	468	f7a23000	00000640	00000000	00000001	DrvEnableSurface 800x600x16
65	12778	2	2	502	468	00000001	00000040	00000040	00000002	hardware pointer available
66	12778	2	2	511	468	00000001	00000000	00f14000	00f15000	DirectDraw HAL: heap 0-f14000 (15440 KB), primary at f15000
67	12778	2	2	511	468	00000001	00000000	00f14000	00f15000	DirectDraw HAL: heap 0-f14000 (15440 KB), primary at f15000
68	12778	2	2	511	468	00000006	00000001	00000000	00000000	DrvEnableDirectDraw
69	12778	2	2	511	468	00000008	ddf41230	00000018	00000000	GetDriverInfo ddf41230
70	12778	2	2	511	468	00000008	2e04ffa0	00000000	00000000	GetDriverInfo 2e04ffa0
71	12778	2	2	511	468	00000008	ffaa7540	0000000c	88760028	GetDriverInfo ffaa7540
72	12778	2	2	511	468	00000008	efd60cc2	0000000c	88760028	GetDriverInfo efd60cc2
73	12778	2	2	511	468	00000008	efd60cc0	0000000c	88760028	GetDriverInfo efd60cc0
74	12778	2	2	511	468	00000008	406b2f00	00000018	00000000	GetDriverInfo 406b2f00
75	12778	2	2	511	468	00000008	6fe9ecde	00000014	00000000	GetDriverInfo 6fe9ecde
76	12778	2	2	511	468	00000008	880baf30	00000024	88760028	GetDriverInfo 880baf30
77	12778	2	2	511	468	00000008	fad16a23	00000008	88760028	GetDriverInfo fad16a23
78	12778	2	2	511	468	00000008	80863800	00000010	88760028	GetDriverInfo 80863800
79	12778	2	2	511	468	00000008	b1122b40	00000030	88760028	GetDriverInfo b1122b40
80	12778	2	2	511	468	00000008	42e02f16	0000008c	88760028	GetDriverInfo 42e02f16
81	12778	2	2	511	468	00000008	3b8a0466	00000028	88760028	GetDriverInfo 3b8a0466
82	13138	1	3	211	468	00000001	00f14000	016201c6	08040081	cursor applied
83	13178	1	3	211	500	00000001	00f14000	016201c6	08040081	cursor applied
84	18015	1	3	106	500	00000100	00000002	00000000	00000000	get power
85	18015	1	3	106	500	00000100	00000004	00000000	00000000	get power
86	18025	1	3	106	500	00000100	00000002	00000000	00000000	get power
87	18025	1	3	106	500	00000100	00000004	00000000	00000000	get power
88	71753	1	2	108	0	0000003c	00000000	00000000	00000000	stable-boot mark queued
89	71893	1	2	801	4	00000001	0000003c	00000000	00000000	stable for 60 s - boot counter cleared
