#vcrlog boot_count=12 version=1 entries=1024 next_seq=126 created=01dd4dd307f36414
1	0	1	2	100	4	00000000	0000000d	00000001	00001278	vcrmp 0.1 build 1: VideoPortInitialize 0
2	1359	1	2	101	4	00000001	00000002	00000000	00000000	PHASE find adapter
3	1359	1	2	200	4	0000121a	00000009	0001121a	00000001	PCI 121a:0009 subsys 0001121a rev 1 at bus 3 slot 0
4	1359	1	2	201	4	00000000	d0000000	08000000	00000000	range 0: d0000000 + 8000000 mem
5	1359	1	2	201	4	00000001	c0000000	10000000	00000000	range 1: c0000000 + 10000000 mem
6	1359	1	2	201	4	00000002	0000c000	00000100	00000001	range 2: 0000c000 + 100 io
7	1359	1	2	202	4	00000000	d0000000	00400000	f5df1000	registers mapped
8	1359	1	2	202	4	00000002	0000c000	00000100	0000c000	I/O BAR mapped
9	1359	1	2	102	4	00000001	00000001	00000000	00000000	PHASE discover
10	1359	1	2	205	4	00000001	00000320	f8000000	f8000000	slave chip 1 at 3:0.1 (BARs as found, not programmed)
11	1359	1	2	205	4	00000002	00000340	e0000000	f8000000	slave chip 2 at 3:0.2 (BARs as found, not programmed)
12	1359	1	2	205	4	00000003	00000360	f8000000	f8000000	slave chip 3 at 3:0.3 (BARs as found, not programmed)
13	1359	1	2	206	4	00000002	00000000	00213388	20030302	HiNT HB1 bridge 2:0 (secondary bus 3)
14	1359	1	2	208	4	00000010	00000045	00000045	00000000	master decode narrowed from power-up (32 MB / 64 MB / 256 B)
15	1359	1	2	208	4	01841320	01841328	01841328	00000000	pciInit0 PCI FIFO low threshold 8 -> 10
16	1359	1	2	204	4	587eadf9	40240031	02000000	10000000	fb 32 MB (4 parts x 8 MB), BAR1 256 MB
17	1359	1	3	203	4	00000000	0000005f	00000000	00000000	boot chip0 status
18	1359	1	3	203	4	00000004	01841328	00000000	00000000	boot chip0 pciInit0
19	1359	1	3	203	4	0000000c	00003fff	00000000	00000000	boot chip0 lfbMemCfg
20	1359	1	3	203	4	00000010	00000000	00000000	00000000	boot chip0 miscInit0
21	1359	1	3	203	4	00000014	26008001	00000000	00000000	boot chip0 miscInit1
22	1359	1	3	203	4	00000018	587eadf9	00000000	00000000	boot chip0 dramInit0
23	1359	1	3	203	4	0000001c	40240031	00000000	00000000	boot chip0 dramInit1
24	1359	1	3	203	4	00000020	8000049e	00000000	00000000	boot chip0 agpInit
25	1359	1	3	203	4	00000024	00000ff0	00000000	00000000	boot chip0 tmuGbeInit
26	1359	1	3	203	4	00000028	00000140	00000000	00000000	boot chip0 vgaInit0
27	1359	1	3	203	4	0000002c	00000000	00000000	00000000	boot chip0 vgaInit1
28	1359	1	3	203	4	00000038	00bd4546	00000000	00000000	boot chip0 strapInfo
29	1359	1	3	203	4	00000040	00000c01	00000000	00000000	boot chip0 pllCtrl0
30	1359	1	3	203	4	00000044	0000e721	00000000	00000000	boot chip0 pllCtrl1
31	1359	1	3	203	4	00000048	0000bf01	00000000	00000000	boot chip0 pllCtrl2
32	1359	1	3	203	4	0000004c	00000000	00000000	00000000	boot chip0 dacMode
33	1359	1	3	203	4	0000005c	30000000	00000000	00000000	boot chip0 vidProcCfg
34	1359	1	3	203	4	00000098	001e0280	00000000	00000000	boot chip0 vidScreenSize
35	1359	1	3	203	4	000000e4	00000000	00000000	00000000	boot chip0 deskStart
36	1359	1	3	203	4	000000e8	00000050	00000000	00000000	boot chip0 deskStride
37	1359	1	3	203	4	00000088	00000000	00000000	00000000	boot chip0 pixBufThold
38	1359	1	3	203	4	0000001a	00000000	00000000	000003d4	boot CR1A
39	1359	1	3	203	4	0000001b	00000000	00000000	000003d4	boot CR1B
40	1359	1	2	700	4	00000064	00000004	00000000	00000000	PHASE placing the slave chips
41	1359	1	2	700	4	00000064	00000000	00000045	00000004	mapSlavePhysical
42	1359	1	2	700	4	00000064	00000045	00000000	00000000	PHASE mapSlavePhysical
43	1359	1	3	700	4	00000066	00000001	00000040	00000700	cfgInitEnable: init, PCI FIFO and BAR writes on
44	1359	1	3	700	4	00000067	00000001	00000048	00011445	slave cfgPciDecode
45	1359	1	3	700	4	00000068	00000001	00000010	d2000000	slave memBase0
46	1359	1	3	700	4	00000069	00000001	00000014	c4000000	slave memBase1
47	1359	1	3	700	4	0000006a	00000001	00000018	0000c000	slave ioBase = master's
48	1359	1	3	700	4	0000006b	00000001	00000004	82300002	slave command: memory on, IO off
49	1359	1	3	700	4	0000006d	00000001	00000040	00000300	cfgInitEnable: BAR writes off again
50	1359	1	2	700	4	0000006c	00000001	d2000000	c4000000	slave BARs read back
51	1359	1	2	700	4	0000006c	01000000	00000000	00000000	PHASE slave BARs read back
52	1359	1	3	700	4	00000066	00000002	00000040	00000700	cfgInitEnable: init, PCI FIFO and BAR writes on
53	1359	1	3	700	4	00000067	00000002	00000048	00011445	slave cfgPciDecode
54	1359	1	3	700	4	00000068	00000002	00000010	d4000000	slave memBase0
55	1359	1	3	700	4	00000069	00000002	00000014	c4000000	slave memBase1
56	1359	1	3	700	4	0000006a	00000002	00000018	0000c000	slave ioBase = master's
57	1359	1	3	700	4	0000006b	00000002	00000004	82300002	slave command: memory on, IO off
58	1359	1	3	700	4	0000006d	00000002	00000040	00000300	cfgInitEnable: BAR writes off again
59	1359	1	2	700	4	0000006c	00000002	d4000000	c4000000	slave BARs read back
60	1359	1	2	700	4	0000006c	02000000	00000000	00000000	PHASE slave BARs read back
61	1359	1	3	700	4	00000066	00000003	00000040	00000700	cfgInitEnable: init, PCI FIFO and BAR writes on
